title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher
adventures of bob hope,6,FN,$3.00 ,,,,,
adventures of bob hope,9,VG,$2.00 ,,,,,
adventures of bob hope,14,FN,$3.00 ,,,,,
adventures of bob hope,17,FN,$3.00 ,,,,,
adventures of bob hope,18,G,$2.00 ,,,,,
adventures of bob hope,19,VG,$2.00 ,,,,,
adventures of bob hope,20,NM,$4.00 ,,,,,
adventures of dean martin & jerry lewis,3,VG,$2.00 ,,,,,
adventures of dean martin & jerry lewis,5,VG,$2.00 ,,,,,
adventures of rex the wonder dog,1,NM,$12.00 ,,,,,
adventures of rex the wonder dog,2,NM+,$8.00 ,,,,,
adventures of rex the wonder dog,3,NM+,$8.00 ,,,,,
adventures of rex the wonder dog,4,VG,$3.00 ,,,,,
adventures of rex the wonder dog,5,G,$2.00 ,,,,,
adventures of rex the wonder dog,7,G,$2.00 ,,,,,
adventures of rex the wonder dog,8,FN,$4.00 ,,,,,
adventures of rex the wonder dog,11,FN,$4.00 ,,,,,
adventures of rex the wonder dog,42,NM+,$4.00 ,,,,,
adventures of the dover boys,1,NM+,$6.00 ,,,,,
africa,1,NM,$15.00 ,,,,,
african lion (four color),665,NM,$3.00 ,,,,,
aggie mack,6,VG,$2.00 ,,,,,
aggie mack,7,FN,$2.00 ,,,,,
aggie mack,8,NM,$3.00 ,,,,,
air ace,9,NM,$11.00 ,,,,,
air ace,10,NM+,$15.00 ,,,,,
air ace,11,NM+,$15.00 ,,,,,
air ace,12,NM+,$15.00 ,,,,,
air ace vol.2 ,1,NL ,,9,OW-W , ,1944,Street and Smith
air ace vol.2 ,1,NM,$7.00 ,,,,,
air ace vol.2 ,12,VG,$3.00 ,,,,,
air ace vol.2 ,2,NM+,$8.00 ,,,,,
air ace vol.2 ,3,NM,$7.00 ,,,,,
air ace vol.2 ,6,FN,$4.00 ,,,,,
air ace vol.2 ,7,NM,$7.00 ,,,,,
air ace vol.3,1,VG,$2.00 ,,,,,
air ace vol.3,7,NM,$5.00 ,,,,,
air fighters comics ,1,NM+ ,$240.00 ,9.4,OW-W ,Old grade NM- 9.2 ,1941,Hillman Periodicals
air fighters comics ,10,NM+,$45.00 ,,,,,
air fighters comics ,2,NM+ ,$360.00 ,8,OW-W , ,1942,Hillman Periodicals
air fighters comics ,3,NM+ ,$160.00 ,9.6,OW-W , ,1942,Hillman Periodicals
air fighters comics ,4,NM+,$120.00 ,,,,,
air fighters comics ,5,NM+,$90.00 ,,,,,
air fighters comics ,6,NM+,$90.00 ,,,,,
air fighters comics ,7,NM+,$60.00 ,,,,,
air fighters comics ,8,NM+ ,$60.00 ,9.6,OW , ,1943,Hillman Periodicals
air fighters comics ,9,NM+,$60.00 ,,,,,
air fighters comics vol2 ,1,NM+,$50.00 ,,,,,
air fighters comics vol2 ,1,NL ,,9,OW-W , ,1944,Street and Smith
air fighters comics vol2 ,10,NM+,$50.00 ,,,,,
air fighters comics vol2 ,2,NM+,$50.00 ,,,,,
air fighters comics vol2 ,3,NM+,$50.00 ,,,,,
air fighters comics vol2 ,3,NL ,,8,OW , ,1943,Hillman Periodicals
air fighters comics vol2 ,4,NM+,$50.00 ,,,,,
air fighters comics vol2 ,5,NM+,$50.00 ,,,,,
air fighters comics vol2 ,5,NL ,,7,OW , ,1944,Hillman Periodicals
air fighters comics vol2 ,6,NM+,$50.00 ,,,,,
air fighters comics vol2 ,8,FN ,$30.00 ,5,OW , ,1944,Hillman Periodicals
air fighters comics vol2 ,9,NM+,$50.00 ,,,,,
airboy vol10,1,FN,$3.00 ,,,,,
airboy vol10,3,FN,$3.00 ,,,,,
airboy v2,11,NM+,$24.00 ,,,,,
airboy v2,12,NM+,$24.00 ,,,,,
airboy v3,1,NM+,$16.00 ,,,,,
airboy v3,10,NM+,$16.00 ,,,,,
airboy v3,11,NM+,$16.00 ,,,,,
airboy v3,12,NM+,$16.00 ,,,,,
airboy v3,2,NM+,$16.00 ,,,,,
